Mapa da patologia,"Estrutura: Trincas e fissuras em ligações com alvenarias, devido movimento estrutural, com corrosão das armaduras da laje."
Solução recomendada,"Estrutura: remover o revestimento danificado e limpar a área exposta, incluindo as armaduras corroídas. Tratar as armaduras com um passivador anticorrosivo e aplicar argamassa de reparo estrutural. Em seguida, utilizar tela metálica na interface entre estrutura e alvenaria para reforçar a ligação e evitar novas fissuras. Finalizar com um novo reboco e pintura elástica para absorver possíveis movimentações."
Mapa da patologia,"Impermeabilização: Infiltração em beirais com calha de concreto ocorre devido a falhas na impermeabilização, fissuras na estrutura ou desníveis que acumulam água em beiral."
Solução recomendada,"Impermeabilização: Retirar a impermeabilização danificada e corrigir fissuras com argamassa impermeável. Aplicar um sistema de impermeabilização flexível, como manta asfáltica ou membrana líquida, cobrindo toda a extensão da calha. Verificar e ajustar o caimento para evitar acúmulo de água e garantir a adequada drenagem."
Mapa da patologia,"Estrutura: Trincas e fissuras em ligações com alvenarias, devido movimento estrutural."
Solução recomendada,Estrutura: Aplicar tela metálica (ou tela de fibra de vidro) sobre a interface antes do reboco e usar argamassa flexível. Garantir a execução de juntas de dilatação adequadas entre os diferentes materiais para acomodar os movimentos.
Mapa da patologia,Estrutura: Recalque diferencial em estrutura do imóvel.
Solução recomendada,"Estrutura: Realizar um estudo geotécnico para identificar a causa. As soluções podem incluir a estabilização do solo com injeção de calda cimentícia, reforço da fundação com estacas ou micro estacas, e nivelamento estrutural com macacos hidráulicos, conforme a gravidade do problema."
Mapa da patologia,Estrutura: Recalque diferencial em estrutura do imóvel.
Solução recomendada,"Estrutura: Realizar um estudo geotécnico para identificar a causa. As soluções podem incluir a estabilização do solo com injeção de calda cimentícia, reforço da fundação com estacas ou micro estacas, e nivelamento estrutural com macacos hidráulicos, conforme a gravidade do problema."
Mapa da patologia,Muro: O reboco fica fraco e desagrega facilmente ao toque.
Solução recomendada,Muro: Refazer reboco.
Mapa da patologia,"Estrutura: Trincas e fissuras em ligações com alvenarias, devido movimento estrutural."
Solução recomendada,Estrutura: Aplicar tela metálica (ou tela de fibra de vidro) sobre a interface antes do reboco e usar argamassa flexível.
Mapa da patologia,"Estrutura: Trincas e fissuras em ligações com alvenarias, devido movimento estrutural."
Solução recomendada,Estrutura: Aplicar tela metálica (ou tela de fibra de vidro) sobre a interface antes do reboco e usar argamassa flexível. Garantir a execução de juntas de dilatação adequadas entre os diferentes materiais para acomodar os movimentos.
Mapa da patologia,Elétrica: Disjuntores unipolar em circuito 220V.
Solução recomendada,Elétrica: Trocar disjuntores para padrão DIN bipolar.
Mapa da patologia,"Estrutura: Trincas e fissuras em ligações com alvenarias, devido movimento estrutural."
Solução recomendada,"Estrutura: Realizar um estudo geotécnico para identificar a causa. As soluções podem incluir a estabilização do solo com injeção de calda cimentícia, reforço da fundação com estacas ou micro estacas, e nivelamento estrutural com macacos hidráulicos, conforme a gravidade do problema."
Mapa da patologia,"Estrutura: Trincas e fissuras em ligações com alvenarias, devido movimento estrutural."
Solução recomendada,Estrutura: Aplicar tela metálica (ou tela de fibra de vidro) sobre a interface antes do reboco e usar argamassa flexível. Garantir a execução de juntas de dilatação adequadas entre os diferentes materiais para acomodar os movimentos.
Mapa da patologia,"Estrutura: Trincas e fissuras em ligações com alvenarias, devido movimento estrutural."
Solução recomendada,Estrutura: Aplicar tela metálica (ou tela de fibra de vidro) sobre a interface antes do reboco e usar argamassa flexível. Garantir a execução de juntas de dilatação adequadas entre os diferentes materiais para acomodar os movimentos.
Mapa da patologia,"Estrutura: Trincas e fissuras em ligações com alvenarias, devido movimento estrutural."
Solução recomendada,Estrutura: Aplicar tela metálica (ou tela de fibra de vidro) sobre a interface antes do reboco e usar argamassa flexível. Garantir a execução de juntas de dilatação adequadas entre os diferentes materiais para acomodar os movimentos.
Mapa da patologia,Rejunte e pintura: Falhas em rejunte e pinturas com infiltrações. Solução recomendada: Estrutura: Aplicar tela metálica (ou tela de fibra de vidro) sobre a
Solução recomendada,"Rejunte e pintura: Após recuperação estrutural, tratar, fissuras, trincas e pintura."
